LL Insert,LL Search,BST Insert,BST Search
0.000115362,5.84E-05,1.56E-05,1.43E-06
0.000120042,7.50E-05,8.56E-06,2.09E-06
0.000124988,8.30E-05,9.23E-06,2.24E-06
0.000105763,8.68E-05,1.09E-05,2.38E-06
0.000121624,7.62E-05,1.46E-05,3.53E-06
0.000114511,7.52E-05,1.16E-05,2.77E-06
0.000110029,7.43E-05,1.08E-05,2.80E-06
0.00010858,6.46E-05,9.06E-06,1.99E-06
0.000110289,7.00E-05,1.02E-05,2.74E-06
0.000100685,7.11E-05,1.05E-05,2.64E-06
0.000117941,6.47E-05,1.02E-05,1.62E-06
0.000117262,7.64E-05,1.36E-05,1.80E-06
0.000124009,7.06E-05,1.26E-05,1.80E-06
0.000127757,7.70E-05,1.40E-05,2.07E-06
0.000125788,6.48E-05,1.05E-05,1.83E-06
0.000127192,7.81E-05,1.58E-05,2.73E-06
0.000125179,6.94E-05,1.66E-05,1.95E-06
0.000134881,7.17E-05,1.27E-05,2.69E-06
0.000132134,6.69E-05,1.60E-05,1.82E-06
0.000125265,8.20E-05,1.40E-05,1.90E-06
0.000120563,8.09E-05,2.28E-05,1.49E-06
0.000105163,8.47E-05,8.80E-06,1.85E-06
0.000116489,8.68E-05,1.21E-05,1.98E-06
0.000126054,6.81E-05,1.37E-05,1.99E-06
0.00011219,6.26E-05,1.23E-05,2.35E-06
0.000106335,6.31E-05,1.17E-05,1.99E-06
0.000113653,6.78E-05,1.42E-05,2.23E-06
0.000151219,8.34E-05,1.26E-05,2.03E-06
0.00012461,7.06E-05,1.38E-05,2.99E-06
0.000120776,8.42E-05,1.09E-05,3.45E-06
8.27E-05,6.87E-05,1.35E-05,3.98E-06
0.000133305,8.49E-05,1.62E-05,5.05E-06
0.000133352,6.58E-05,1.62E-05,3.32E-06
0.00014496,6.89E-05,2.05E-05,2.39E-06
0.000137892,6.05E-05,1.45E-05,3.40E-06
0.000149411,8.47E-05,1.17E-05,3.80E-06
0.000134417,7.28E-05,1.11E-05,2.05E-06
0.000116729,8.03E-05,1.83E-05,2.57E-06
0.000108905,8.12E-05,1.82E-05,1.26E-06
0.000115353,8.74E-05,1.52E-05,2.11E-06
0.000157795,9.36E-05,1.61E-05,1.48E-06
0.000132078,8.27E-05,7.51E-06,2.20E-06
0.000116706,9.10E-05,9.33E-06,2.11E-06
0.000157779,7.16E-05,1.72E-05,2.20E-06
0.000108811,7.70E-05,1.84E-05,2.27E-06
0.000134062,8.97E-05,1.71E-05,2.01E-06
0.000137073,8.89E-05,1.66E-05,1.90E-06
0.000142205,8.09E-05,1.73E-05,2.44E-06
0.000154962,7.57E-05,1.67E-05,3.38E-06
0.000180502,9.04E-05,1.68E-05,8.12E-06
0.000144594,7.68E-05,1.73E-05,3.32E-06
0.000121396,7.30E-05,1.03E-05,4.10E-06
0.000129044,6.07E-05,1.57E-05,2.43E-06
0.000142253,7.78E-05,1.09E-05,3.11E-06
0.00013687,9.12E-05,1.26E-05,2.79E-06
0.000108746,4.61E-05,1.16E-05,2.93E-06
0.000130156,7.69E-05,1.42E-05,2.98E-06
0.00015669,8.02E-05,1.36E-05,2.21E-06
0.000153387,7.68E-05,1.54E-05,2.95E-06
0.000143781,7.82E-05,1.30E-05,2.54E-06
0.00013634,8.76E-05,1.61E-05,3.31E-06
0.000138535,9.15E-05,1.67E-05,3.35E-06
